AVG(rendimiento),AVG(u_primera),AVG(u_segunda),COUNT(operario),f_inicio,f_fin,orden,u_primera,u_segunda,rendimiento
103.2,60,0,6,2022/05/13,2022/05/13,OTO2043220422E2,60,,103.2
97.8,46,0,4,2022/05/13,2022/05/13,OTO2042660422E1,46,,97.8
69.89999999999999,23,0,7,2022/05/13,2022/05/13,OTO2064250422,23,,69.9
84.3,28,0,6,2022/05/13,2022/05/13,OTO2042680422E1,28,,84.3
37.7,6,0,1,2022/05/13,2022/05/13,OTO2072340522P,6,,37.7
47.699999999999996,36,0,9,2022/05/13,2022/05/13,OTO2065460422,36,,47.7
109.20000000000002,39,0,8,2022/05/13,2022/05/13,OTO2054700522,39,,109.2
0,0,0,2,2022/05/13,2022/05/13,OTO2043220422E1,0,,0.0
87.10000000000001,54,0,8,2022/05/13,2022/05/13,OTO2054710522,54,,87.1
38.300000000000004,5,0,10,2022/05/13,2022/05/13,OTO2064060422,5,,38.3
85.7,119,0,6,2022/05/13,2022/05/13,OTO2043230422E2,119,,85.7
99.8,38,0,2,2022/05/13,2022/05/13,OTO2043220422E2,38,,99.8
153.1,13,0,9,2022/05/13,2022/05/13,OTO2064250422,13,,153.1
